id,question,probability,close_time,url,created_time,collected_at,source
dPy69pSdyO,Will the UK government mention quantum computing in an official policy speech within the next month?,0.5226495550161098,1772435040000,https://manifold.markets/Superkael0/will-the-uk-government-mention-quan,1769756976850,2026-02-01T02:58:41.135337+00:00,manifold
lAq20NS6Rh,Sibanye-Stillwater Stillwater PGM 2E Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/sibanyestillwater-stillwater-pgm-2e-LthZAP85Ln,1769802711196,2026-02-01T02:58:41.135341+00:00,manifold
9QZ0upESQQ,VCT Americas – Leviatán Esports beats KRÜ Esports,0.7400000000000001,1770000240000,https://manifold.markets/DogOdds/vct-americas-leviatan-esports-beats,1769827514034,2026-02-01T02:58:41.135349+00:00,manifold
uRgpcL6Ayc,"By March, will >10 agent on moltbook be jailbroken and share sensitive information?",0.5397273456969605,1772385420000,https://manifold.markets/ms/by-march-will-10-agent-on-moltbook,1769793632022,2026-02-01T02:58:41.135353+00:00,manifold
9q2RyylpzI,"Will Anthropic, OpenAI, Deep-mind or Meta publish an app mainly for AI Agents by end of March 2026?",0.41578123384037174,1775001540000,https://manifold.markets/Soli/will-anthropic-openai-deepmind-or-m-dIgcINPSzu,1769865585397,2026-02-01T02:58:41.135356+00:00,manifold
thEg0EQC2E,Sibanye-Stillwater Mimosa PGM 4E Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/sibanyestillwater-mimosa-pgm-4e-pro-5LzQRP6ZpU,1769802697391,2026-02-01T02:58:41.135359+00:00,manifold
pEhuyyEcOn,Northam Platinum Zondereinde PGM Concentrate Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/northam-platinum-zondereinde-pgm-co-RgyzQPcyQq,1769802706149,2026-02-01T02:58:41.135363+00:00,manifold
8ZqAhgt0PC,Will the S&P500 be within 1% of all time high at the end of Feb 2026?,0.5041582737793835,1770163140000,https://manifold.markets/Magnify/will-the-sp500-be-within-1-of-all-t-nQqSLpNh2S,1769808385505,2026-02-01T02:58:41.135366+00:00,manifold
6nNltE5yz0,"Impala Platinum Bafokeng PGM 6E Production 2026 ≥ 540,000 ozt",0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/impala-platinum-bafokeng-pgm-6e-pro-6Q55LZEqty,1769802703594,2026-02-01T02:58:41.135370+00:00,manifold
dp9g856gn5,Educational Lottery,0.05016520021273004,1769921940000,https://manifold.markets/ttoe/educational-lottery-6uCs9nQd0C,1769834205289,2026-02-01T02:58:41.135373+00:00,manifold
uOqQpE8CSR,Will Valve announce new hardware prices in February 2026?,0.5,1772323140000,https://manifold.markets/SourceMaster/will-valve-announce-new-hardware-pr-EEN99zNQqE,1769914167508,2026-02-01T02:58:41.135376+00:00,manifold
6QAgNtlNhR,Will Trump pardon Nicolas Maduro before 1 Feb 2027?,0.08028149659190677,1801439940000,https://manifold.markets/Jack1/will-trump-pardon-nicolas-maduro-be,1769755061285,2026-02-01T02:58:41.135379+00:00,manifold
pCzZA8ALzs,Valterra Unki PGM 5E+Au Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/valterra-unki-pgm-5eau-production-2-IUt9Oszzs8,1769802706953,2026-02-01T02:58:41.135383+00:00,manifold
d9chEOtUPs,Will OpenAI publish content referencing quantum computing within the next 30 days?,0.21999999999999997,1772577900000,https://manifold.markets/AnotherJaden/will-openai-publish-content-referen,1769813255547,2026-02-01T02:58:41.135386+00:00,manifold
cojSyfxfqf,"Will ""How to Hire a Team"" make the top fifty posts in LessWrong's 2026 Annual Review?",0.13657863403403647,1832976000000,https://manifold.markets/LessWrong/will-how-to-hire-a-team-make-the-to,1769874327742,2026-02-01T02:58:41.135392+00:00,manifold
CqzRy5A5dt,Trump will add tariff on countries who provide oil to cuba,0.768110564882664,1770335940000,https://manifold.markets/ashumishra/trump-will-add-tariff-on-countries,1769796015673,2026-02-01T02:58:41.135395+00:00,manifold
hOtU2t0ZIE,Will Moltbook survive through feb 2026?,0.9290246871563471,1772373960000,https://manifold.markets/VictorKnox/will-moltbook-survive-through-feb-2,1769868651920,2026-02-01T02:58:41.135399+00:00,manifold
5UyOAO58Ic,Why LoveAgain.com Leads Mature Dating in 2026,0.5,1798761540000,https://manifold.markets/JamesPiterson/why-loveagaincom-leads-mature-datin,1769866699719,2026-02-01T02:58:41.135402+00:00,manifold
lZpNZ5cSnu,Impala Platinum Rustenburg PGM 6E Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/impala-platinum-rustenburg-pgm-6e-p-REgcEcygzc,1769802704413,2026-02-01T02:58:41.135406+00:00,manifold
uNgdLsh8nQ,Nornickel Norilsk PGM Matte Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/nornickel-norilsk-pgm-matte-product-UsClCPt2Ah,1769802700413,2026-02-01T02:58:41.135409+00:00,manifold
